filename, Rockfish, Starfish, Tilefish
vvrrr--6----Copy_jpeg.rf.fe985ff2ea30aabc1f2f763d35d9ddd6.jpg, 0, 0, 1
vvrrr--9----Copy_jpeg.rf.fe25fd3eecd4361028fb6240758587d2.jpg, 0, 0, 1
starfish--17-_bmp.rf.fca4e5c39bd2efc54046787b22bfcb72.jpg, 0, 1, 0
DSCN0119_C-Copy---Copy---Copy_jpg.rf.fda759559170b07095a1a75383a1920d.jpg, 1, 0, 0
Set2_DSCN1090-JPG_0_jpg.rf.fe6a53f440168be3dac4ae55df9d9724.jpg, 1, 1, 0
DSCN0956_C---Copy---Copy_jpg.rf.fbd74bcb49ca91e222d012a69e71b835.jpg, 1, 0, 0
Set2_DSCN3125-JPG_0---Copy_jpg.rf.fc210d32a691add8e7df8eadfcf39316.jpg, 1, 1, 0
Set2_DSCN1438-JPG_0---Copy_jpg.rf.fc3afdf3baea6a5686ce599fa82e9bc5.jpg, 1, 1, 0
dddd1--5-_jpg.rf.fcd955cbfaf0b28a58a2e5b22e35f4a0.jpg, 1, 1, 0
DSCN4432_1---Copy_JPG.rf.fe9bdf829d6a2cab4ddd47f49583c5cb.jpg, 1, 0, 0
45a--2----Copy_bmp.rf.fe5518f1dc8a4c3df4776f3f87ff5be4.jpg, 0, 0, 1
DSCN4680_jpg.rf.fbd6fd3b6783d80c5da8cfc0e356cbf2.jpg, 0, 1, 0
DSCN4940---Copy_jpg.rf.ff54ab9a8e0257ae006240f73491d5dd.jpg, 0, 0, 1
vvvv--19-_bmp.rf.fed1aec68d9dc17697c2b7faf5a71cf7.jpg, 0, 0, 1
48--3----Copy_bmp.rf.fdecbd06cb8eb904525de485afa1cf46.jpg, 0, 0, 1
DSCN4799---Copy_jpg.rf.ffecac09027004e74b82b5e033654f2b.jpg, 0, 1, 0
DSCN4388_1---Copy_JPG.rf.fee21b6a0e96f80b16972ee89cc7169b.jpg, 1, 0, 0
Set2_DSCN2236-JPG_0_jpg.rf.565c705657fd0d2bab6a95f722200117.jpg, 1, 1, 0
DSCN4278_1---Copy_JPG.rf.5724adb4d1d2071d811de8350b1e07f3.jpg, 1, 0, 0
DSCN4942_jpg.rf.59dbd85b4c5bc9972a19d6818f31d954.jpg, 0, 0, 1
48--9----Copy---Copy_bmp.rf.587efd682c72027182ab80255570f320.jpg, 0, 0, 1
vvvv--11-_bmp.rf.576f17b43cf4e7b658a1899c3fd5fed0.jpg, 0, 0, 1
DSCN4978_jpg.rf.57825e6c50618549e14ca96f763e6bcc.jpg, 0, 1, 0
